0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:52:42 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:52:42 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:52:42 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:52:42 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:52:42 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:16 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:16 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:16 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:16 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:16 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:16 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:26 -0300] "GET /SalaArcoIris/pages/home/home.html HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:26 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:26 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:26 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:26 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:26 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 200 107659
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:36 -0300] "GET /SalaArcoIris/pages/aluno/listar.html HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:36 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:36 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:53:36 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:55:47 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:55:47 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:57:53 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4416
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:57:53 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:58:00 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:58:23 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4406
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:58:31 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:58:31 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:58:31 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:58:32 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:59:31 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:59:32 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
